wwwsild1 24646     1  0 01:09 ?        00:01:57 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N1-A-1/N1-A-1-Process_Archive.tra --innerProcess
wwwsild1 24653     1  0 01:09 ?        00:02:01 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-18/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM4/tra/DomainA1_D1/application/ISS_COMET_HTR_IndicativeDataPublisher/ISS_COMET_HTR_IndicativeDataPublisher-IDPublisher.tra --innerProcess
wwwsild1 24656     1  1 01:09 ?        00:03:01 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-18/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM4/tra/DomainA1_D1/application/ISS_COMET_HTR_IndicativeDataSubscriber1/ISS_COMET_HTR_IndicativeDataSubscriber1-IndicativeDataSub_Services.tra --innerProcess
wwwsild1 24665     1  0 01:09 ?        00:02:15 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-18/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM4/tra/DomainA1_D1/application/ISS_COMET_HTR_SAPOrgStructure/ISS_COMET_HTR_SAPOrgStructure-VLT_ProcessArchive.tra --innerProcess
wwwsild1 24666     1  0 01:09 ?        00:02:07 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-18/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM4/tra/DomainA1_D1/application/ISS_COMET_HTR_SAPOrgStructure-1/ISS_COMET_HTR_SAPOrgStructure-1-PrePost_ProcessArchive.tra --innerProcess
wwwsild1 24678     1  0 01:09 ?        00:01:31 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-18/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM4/tra/DomainA1_D1/application/ISS_COMET_HTR_SmithBarney/ISS_COMET_HTR_SmithBarney-SmithBarney_Services.tra --innerProcess
wwwsild1 24686     1  0 01:09 ?        00:02:01 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-18/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM4/tra/DomainA1_D1/application/ISS_COMET_HTR_TaleoESAP2PInterfaces/ISS_COMET_HTR_TaleoESAP2PInterfaces-TaleoESAP2P.tra --innerProcess
wwwsild1 24687     1  0 01:09 ?        00:01:15 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-18/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM4/tra/DomainA1_D1/application/ISS_COMET_HTR_TMP2PInterface/ISS_COMET_HTR_TMP2PInterface-TMP2PInterface.tra --innerProcess
wwwsild1 24690     1  0 01:09 ?        00:01:30 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-18/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM4/tra/DomainA1_D1/application/ISS_COMET_HTR_ExemptShiftSAPToPS_Outbound/ISS_COMET_HTR_ExemptShiftSAPToPS_Outbound-ExemptShiftPSOutbound.tra --innerProcess
wwwsild1 24701     1  0 01:09 ?        00:01:12 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-2/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM/tra/DomainA1_D1/application/CG_UI_Interface/CG_UI_Interface-CG_UI_Interface.tra --innerProcess
wwwsild1 24707     1  0 01:09 ?        00:01:39 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-2/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM/tra/DomainA1_D1/application/ISS_CoarseGrained_Service/ISS_CoarseGrained_Service-CoarseGrainedService.tra --innerProcess
